#,Title,Synergy Tags,Result,Team,Pd.,Clock,Player,Synergy String
133,Matt Caggiano,"Offense, Defense, P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,2,15:20,Brody Brown,5 Matt Caggiano > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Brody Brown > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
134,Riley Spencer,"Offense, Spot Up, 2FGm",Miss 2 Pts,Elmira,2,14:59,Riley Spencer,14 Riley Spencer > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
135,Dylan Jacob,"Offense, Off Reb, Off Reb",Run Offense,Elmira,2,14:59,Dylan Jacob,1 Dylan Jacob > Offensive Rebound > Short > Run Offense
136,Riley Spencer,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,14:53,Riley Spencer,14 Riley Spencer > Cut > Flash > Miss 2 Pts
137,Zac Ditzel,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,2,14:36,Zac Ditzel,20 Zac Ditzel > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
138,Tyler Cardello,"Offense, Defense, Iso, Foul",Foul,Elmira,2,14:34,Tyler Cardello,30 Tyler Cardello > ISO > Top > Drives Right > To Basket > Foul
139,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,2,14:05,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
140,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,2,14:05,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
141,Matt Caggiano,"Offense, P&R BH, Cut, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,2,13:42,Zac Ditzel,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 20 Zac Ditzel > Cut > Flash > Make 2 Pts
142,Marc Anthony Artuz,"Offense, Defense, P&R BH, 3FGm, Def Reb",Miss 3 Pts,Elmira,2,13:16,Marc Anthony Artuz,23 Marc Anthony Artuz > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
